Time,Voltage(V),Current(A),Power(W),Energy(Kwh),Frequency(Hz),PowerFactor(PF),,,
15:50:16,229.6,0.06,2.3,0,49.9,0.16,,,
15:50:17,229.5,0.06,2.4,0,50,0.16,,,
15:50:18,229.5,0.06,2.4,0,50,0.16,,,
15:50:19,229.6,0.06,2.4,0,49.9,0.16,,,
15:50:20,229.6,0.06,2.4,0,49.9,0.16,,,
15:50:21,229.6,0.06,2.3,0,49.9,0.16,,,
15:50:22,229.6,0.06,2.3,0,49.9,0.16,,,
15:50:23,229.6,0.06,2.4,0,49.9,0.16,,,
15:50:24,229.7,0.06,2.3,0,50,0.15,,,
15:50:26,229.6,0.06,2.4,0,49.9,0.16,,,
15:50:27,229.6,0.06,2.4,0,50,0.16,,,
15:50:28,229.6,0.06,2.3,0,49.9,0.15,,,
15:50:29,229.7,0.06,2.3,0,50,0.16,,,
15:50:30,229.6,0.06,2.4,0,49.9,0.16,,,
15:50:31,229.6,0.06,2.4,0,50,0.16,,,
15:50:32,229.5,0.06,2.4,0,50,0.16,,,
15:50:33,229.5,0.06,2.4,0,49.9,0.16,,,
15:50:34,229.6,0.06,2.4,0,50,0.16,,,
15:50:35,229.6,0.06,2.3,0,50,0.16,,,
15:50:36,229.6,0.06,2.3,0,49.9,0.16,,,
15:50:37,229.7,0.06,2.4,0,49.9,0.16,,,
15:50:38,229.7,0.06,2.4,0,49.9,0.16,,,
15:50:39,229.7,0.06,2.3,0,50,0.16,,,
15:50:40,229.7,0.06,2.3,0,49.9,0.16,,,
15:50:41,229.6,0.06,2.4,0,50,0.16,,,
15:50:43,229.6,0.06,2.3,0,49.9,0.16,,,
15:50:44,229.6,0.06,2.4,0,50,0.16,,,
15:50:45,229.6,0.06,2.4,0,50,0.16,,,
15:50:46,229.6,0.06,2.3,0,49.9,0.16,,,
15:50:47,229.6,0.06,2.4,0,50,0.16,,,
15:50:48,229.6,0.06,2.3,0,49.9,0.16,,,
15:50:49,229.5,0.06,2.3,0,49.9,0.16,,,
15:50:50,229.4,0.06,2.3,0,50,0.16,,,
15:50:51,229.4,0.06,2.3,0,49.9,0.16,,,
15:50:52,229.4,0.06,2.4,0,50,0.16,,,
15:50:53,229.5,0.06,2.4,0,49.9,0.16,,,
15:50:54,229.5,0.06,2.4,0,49.9,0.16,,,
15:50:55,229.7,0.06,2.3,0,49.9,0.16,,,
15:50:56,229.7,0.06,2.4,0,49.9,0.16,,,
15:50:57,229.7,0.06,2.4,0,49.9,0.16,,,
